"o3_sub_index.west","o3_sub_index.national","o3_sub_index.east","o3_sub_index.central","o3_sub_index.south","o3_sub_index.north","pm10_twenty_four_hourly.west","pm10_twenty_four_hourly.national","pm10_twenty_four_hourly.east","pm10_twenty_four_hourly.central","pm10_twenty_four_hourly.south","pm10_twenty_four_hourly.north","pm10_sub_index.west","pm10_sub_index.national","pm10_sub_index.east","pm10_sub_index.central","pm10_sub_index.south","pm10_sub_index.north","co_sub_index.west","co_sub_index.national","co_sub_index.east","co_sub_index.central","co_sub_index.south","co_sub_index.north","pm25_twenty_four_hourly.west","pm25_twenty_four_hourly.national","pm25_twenty_four_hourly.east","pm25_twenty_four_hourly.central","pm25_twenty_four_hourly.south","pm25_twenty_four_hourly.north","so2_sub_index.west","so2_sub_index.national","so2_sub_index.east","so2_sub_index.central","so2_sub_index.south","so2_sub_index.north","co_eight_hour_max.west","co_eight_hour_max.national","co_eight_hour_max.east","co_eight_hour_max.central","co_eight_hour_max.south","co_eight_hour_max.north","no2_one_hour_max.west","no2_one_hour_max.national","no2_one_hour_max.east","no2_one_hour_max.central","no2_one_hour_max.south","no2_one_hour_max.north","so2_twenty_four_hourly.west","so2_twenty_four_hourly.national","so2_twenty_four_hourly.east","so2_twenty_four_hourly.central","so2_twenty_four_hourly.south","so2_twenty_four_hourly.north","pm25_sub_index.west","pm25_sub_index.national","pm25_sub_index.east","pm25_sub_index.central","pm25_sub_index.south","pm25_sub_index.north","psi_twenty_four_hourly.west","psi_twenty_four_hourly.national","psi_twenty_four_hourly.east","psi_twenty_four_hourly.central","psi_twenty_four_hourly.south","psi_twenty_four_hourly.north","o3_eight_hour_max.west","o3_eight_hour_max.national","o3_eight_hour_max.east","o3_eight_hour_max.central","o3_eight_hour_max.south","o3_eight_hour_max.north","timestamp","update_timestamp"
 5, 6, 4, 6, 3, 3,17,28,16,28,23,22,17,28,16,28,23,22, 5, 6, 6, 3, 4, 5,4,8,8,7,6,7,1,3,2,2,3,1,0.51,0.59,0.59,0.34,0.40,0.46,45,45,40,31,23,40,2,4,3,4,4,2,18,32,32,29,25,30,18,32,32,29,25,30,13,14,10,14, 6, 7,"2022-01-01T01:00:00+08:00","2022-01-01T01:08:52+08:00"
 5, 6, 5, 6, 2, 3,17,28,16,28,22,22,17,28,16,28,22,22, 5, 6, 6, 3, 4, 5,4,8,8,7,6,7,1,3,2,2,3,1,0.52,0.58,0.58,0.35,0.39,0.47,38,38,18,29,21,32,2,4,3,4,4,2,19,31,31,30,24,30,19,31,31,30,24,30,11,13,11,13, 6, 7,"2022-01-01T02:00:00+08:00","2022-01-01T02:08:52+08:00"
 4, 6, 5, 6, 3, 4,18,28,16,28,22,21,18,28,16,28,22,21, 5, 6, 6, 3, 4, 4,5,7,7,7,6,7,1,3,2,2,3,1,0.53,0.57,0.57,0.34,0.38,0.45,35,35,14,15,10,11,2,4,3,4,4,2,19,31,30,31,23,30,19,31,30,31,23,30,10,15,12,15, 7, 9,"2022-01-01T03:00:00+08:00","2022-01-01T03:08:52+08:00"
 4, 7, 6, 7, 4, 4,18,28,16,28,22,21,18,28,16,28,22,21, 5, 5, 5, 3, 4, 4,5,7,7,7,6,7,1,3,2,2,3,1,0.53,0.55,0.55,0.32,0.36,0.43,24,24,14,13,11,22,2,4,3,4,4,2,20,31,29,30,23,31,20,31,29,30,23,31, 9,18,15,18, 9, 9,"2022-01-01T04:00:00+08:00","2022-01-01T04:08:52+08:00"
 4, 7, 7, 7, 4, 4,17,28,15,28,21,21,17,28,15,28,21,21, 5, 5, 5, 3, 3, 4,5,7,7,7,5,7,1,3,2,2,3,1,0.52,0.53,0.53,0.32,0.34,0.43,21,21, 9,14,11,15,2,4,3,4,4,2,19,31,27,30,23,31,19,31,27,30,23,31, 9,17,17,17,10, 8,"2022-01-01T05:00:00+08:00","2022-01-01T05:08:52+08:00"
 4, 8, 8, 7, 4, 4,17,28,15,28,21,21,17,28,15,28,21,21, 5, 5, 5, 3, 3, 4,5,7,6,7,5,7,1,3,2,2,3,1,0.52,0.52,0.52,0.31,0.34,0.41,26,26,12,15,13,22,2,4,3,4,4,2,19,31,27,30,22,31,19,31,27,30,22,31, 9,19,19,16,10, 9,"2022-01-01T06:00:00+08:00","2022-01-01T06:08:52+08:00"
 3, 9, 9, 7, 4, 4,17,28,15,28,21,21,17,28,15,28,21,21, 5, 5, 5, 3, 3, 4,5,8,6,8,5,7,1,3,2,2,3,1,0.52,0.52,0.50,0.31,0.32,0.40,24,24,15,15,12,17,2,4,3,4,4,2,19,31,27,31,22,31,19,31,27,31,22,31, 8,21,21,16,10, 9,"2022-01-01T07:00:00+08:00","2022-01-01T07:08:52+08:00"
 4, 9, 9, 7, 5, 4,17,27,15,27,21,21,17,27,15,27,21,21, 5, 5, 5, 3, 3, 4,5,7,6,7,5,7,1,3,2,2,3,1,0.51,0.51,0.50,0.30,0.30,0.38,20,21,20,19,10,21,2,4,3,3,4,2,20,31,27,31,22,31,20,31,27,31,22,31, 9,21,21,16,11,10,"2022-01-01T08:00:00+08:00","2022-01-01T08:08:52+08:00"
 4,10,10, 7, 5, 4,17,27,15,27,20,21,17,27,15,27,20,21, 5, 5, 5, 3, 3, 4,5,7,6,7,5,7,1,3,2,2,3,1,0.50,0.50,0.50,0.30,0.30,0.36,16,22,17,19,10,22,2,4,3,3,4,2,20,31,27,31,23,30,20,31,27,31,23,30,10,23,23,16,12,10,"2022-01-01T09:00:00+08:00","2022-01-01T09:08:53+08:00"
 4, 9, 9, 8, 5, 4,17,27,15,27,20,21,17,27,15,27,20,21, 5, 5, 5, 3, 3, 3,5,7,6,7,5,7,1,3,2,2,3,1,0.48,0.51,0.51,0.29,0.29,0.35,18,25,25,14,12,21,2,4,3,3,4,2,22,30,27,30,22,30,22,30,27,30,22,30,10,22,22,18,13,10,"2022-01-01T10:00:00+08:00","2022-01-01T10:08:54+08:00"
 5, 9, 9, 8, 5, 4,18,28,15,28,20,22,18,28,15,28,20,22, 5, 5, 5, 3, 3, 4,5,7,6,7,5,7,1,2,2,2,2,1,0.46,0.52,0.52,0.29,0.30,0.37,11,32,24,18,16,32,2,4,3,3,4,2,22,30,26,30,22,29,22,30,26,30,22,29,11,20,20,18,12, 8,"2022-01-01T11:00:00+08:00","2022-01-01T11:08:52+08:00"
 5, 9, 9, 8, 5, 5,17,28,15,28,20,22,17,28,15,28,20,22, 4, 5, 5, 3, 3, 4,5,7,6,7,5,7,2,2,2,2,2,1,0.45,0.53,0.53,0.30,0.31,0.38, 9,26,20,17,13,26,3,4,3,3,4,2,22,31,26,31,22,31,22,31,26,31,22,31,13,20,20,20,12,11,"2022-01-01T12:00:00+08:00","2022-01-01T12:08:52+08:00"
 7,10,10,10, 6, 6,17,28,15,28,20,22,17,28,15,28,20,22, 4, 5, 5, 3, 3, 4,6,8,6,7,5,8,2,2,2,2,2,1,0.43,0.52,0.52,0.30,0.30,0.38,13,20, 6,20, 9, 9,3,4,3,3,4,2,24,31,26,31,22,31,24,31,26,31,22,31,16,23,23,23,14,15,"2022-01-01T13:00:00+08:00","2022-01-01T13:08:52+08:00"
 9,12,11,12, 6, 9,17,28,15,28,20,22,17,28,15,28,20,22, 5, 5, 5, 3, 3, 4,6,8,6,8,5,8,2,2,2,2,2,1,0.51,0.52,0.52,0.30,0.31,0.38, 4,22,13,16,22, 6,3,4,3,3,4,2,25,31,26,31,22,31,25,31,26,31,22,31,22,28,25,28,15,21,"2022-01-01T14:00:00+08:00","2022-01-01T14:08:52+08:00"
11,14,12,14, 7,11,17,28,15,28,20,21,17,28,15,28,20,21, 7, 7, 5, 3, 3, 4,6,7,6,7,5,7,2,2,2,2,2,1,0.68,0.68,0.52,0.30,0.31,0.39,17,17,10,13,15, 8,3,4,3,3,4,2,25,31,26,31,22,31,25,31,26,31,22,31,25,34,29,34,17,26,"2022-01-01T15:00:00+08:00","2022-01-01T15:08:52+08:00"
12,16,14,16, 8,13,17,28,16,28,20,20,17,28,16,28,20,20, 6, 6, 5, 3, 3, 4,6,7,6,7,5,7,2,2,2,2,2,1,0.65,0.65,0.51,0.30,0.31,0.38,16,17,11,12,17, 6,3,4,3,3,4,2,25,31,26,31,23,31,25,31,26,31,23,31,28,39,32,39,19,30,"2022-01-01T16:00:00+08:00","2022-01-01T16:08:52+08:00"
13,18,14,18, 9,14,17,28,16,28,20,19,17,28,16,28,20,19,11,11, 5, 3, 3, 4,6,7,6,7,5,7,2,2,2,2,2,1,1.13,1.13,0.51,0.29,0.30,0.38,11,15,13,11, 8,15,3,4,3,3,4,2,25,30,26,30,22,30,25,30,26,30,22,30,30,42,34,42,20,33,"2022-01-01T17:00:00+08:00","2022-01-01T17:08:52+08:00"
14,18,15,18, 9,14,17,28,15,28,20,19,17,28,15,28,20,19,14,14, 5, 3, 3, 4,6,7,6,7,5,7,2,2,2,2,2,1,1.41,1.41,0.51,0.29,0.30,0.37,13,23,23,18,11,19,3,4,3,3,4,2,26,30,25,30,22,30,26,30,25,30,22,30,32,42,36,42,21,34,"2022-01-01T18:00:00+08:00","2022-01-01T18:08:52+08:00"
14,18,15,18, 9,16,17,28,16,28,20,19,17,28,16,28,20,19,18,18, 5, 3, 3, 4,6,8,6,8,6,7,2,2,2,2,2,1,1.84,1.84,0.51,0.29,0.30,0.36,14,27,27,16,13, 9,3,4,3,3,4,2,26,32,25,32,23,30,26,32,25,32,23,30,34,42,36,42,21,37,"2022-01-01T19:00:00+08:00","2022-01-01T19:08:52+08:00"
14,17,15,17, 9,16,18,28,15,28,20,18,18,28,15,28,20,18,22,22, 5, 3, 3, 3,6,7,6,7,6,7,2,2,2,2,2,1,2.18,2.18,0.52,0.29,0.29,0.34,15,21,21,20,14,13,3,4,3,3,4,2,27,31,25,31,23,29,27,31,25,31,23,29,33,40,36,40,21,37,"2022-01-01T20:00:00+08:00","2022-01-01T20:08:52+08:00"
13,16,14,16, 8,14,18,27,15,27,20,18,18,27,15,27,20,18,26,26, 5, 3, 3, 3,6,7,6,7,6,7,2,2,2,2,2,1,2.55,2.55,0.54,0.29,0.30,0.35,19,21,17,21,17,14,3,4,3,3,4,2,26,31,24,31,23,28,26,31,24,31,23,28,31,37,34,37,19,34,"2022-01-01T21:00:00+08:00","2022-01-01T21:08:52+08:00"
11,14,13,14, 8,13,18,27,15,27,20,19,18,27,15,27,20,19,28,28, 6, 3, 3, 4,6,7,6,7,6,7,2,2,2,2,2,1,2.79,2.79,0.56,0.30,0.30,0.36,21,21,17,16,15,17,3,4,3,3,4,2,26,31,23,31,24,28,28,31,23,31,24,28,26,33,31,33,19,30,"2022-01-01T22:00:00+08:00","2022-01-01T22:08:53+08:00"
10,12,11,12, 7,11,17,28,15,28,20,19,17,28,15,28,20,19,30,30, 6, 3, 3, 4,6,7,6,7,6,7,2,2,2,2,2,1,2.97,2.97,0.58,0.30,0.31,0.36,22,28,28,19,13,24,3,4,3,3,4,2,26,30,23,30,25,28,30,30,23,30,25,28,23,28,27,28,17,25,"2022-01-01T23:00:00+08:00","2022-01-01T23:08:52+08:00"
